QID,Question,Input.answer_1,Input.answer_2,Input.answer_3,Input.top_N,Preference,Answer.reason
2317-1,where does harry potter get his school supplies,Hagrid (fictional character from Harry Potter) explains that Harry Potter (fantasy literature series by J.K. Rowling) will buy what he needs for school in Diagon Alley (places mentioned in Harry Potter).,Hagrid explains that Harry Potter will buy what he needs for school in Diagon Alley.,"Hagrid explains that Harry Potter will buy what he needs for school in Diagon Alley. If you would like to learn more about harry potter, rubeus hagrid or places in harry potter, feel free to ask!",top_3,original,Just gives the answer without anything extra.
2317-1,where does harry potter get his school supplies,Hagrid (fictional character from Harry Potter) explains that Harry Potter (fantasy literature series by J.K. Rowling) will buy what he needs for school in Diagon Alley (places mentioned in Harry Potter).,Hagrid explains that Harry Potter will buy what he needs for school in Diagon Alley.,"Hagrid explains that Harry Potter will buy what he needs for school in Diagon Alley. If you would like to learn more about harry potter, rubeus hagrid or places in harry potter, feel free to ask!",top_3,prompt,It clearly provides an answer while also offering a follow-up phrase to obtain additional information if needed.
2317-1,where does harry potter get his school supplies,Hagrid (fictional character from Harry Potter) explains that Harry Potter (fantasy literature series by J.K. Rowling) will buy what he needs for school in Diagon Alley (places mentioned in Harry Potter).,Hagrid explains that Harry Potter will buy what he needs for school in Diagon Alley.,"Hagrid explains that Harry Potter will buy what he needs for school in Diagon Alley. If you would like to learn more about harry potter, rubeus hagrid or places in harry potter, feel free to ask!",top_3,original,"Its correct while also being direct and to the point.  Some of the other answers seemed to have information that made it seem muddy, or unclear."
3-3,What are the different types of tachycardia?,"Atrial fibrillation. Atrial fibrillation is a rapid heart rate caused by chaotic, irregular electrical impulses in the upper chambers of the heart (atria (chamber of the heart)). ...Atrial flutter. ...Supraventricular tachycardia (SVT). ...Ventricular tachycardia. ...Ventricular fibrillation.","Atrial fibrillation. Atrial fibrillation is a rapid heart rate caused by chaotic, irregular electrical impulses in the upper chambers of the heart (atria). ...Atrial flutter. ...Supraventricular tachycardia (SVT). ...Ventricular tachycardia. ...Ventricular fibrillation. If you would like to learn more about atrium (heart), feel free to ask!","Atrial fibrillation. Atrial fibrillation is a rapid heart rate caused by chaotic, irregular electrical impulses in the upper chambers of the heart (atria). ...Atrial flutter. ...Supraventricular tachycardia (SVT). ...Ventricular tachycardia. ...Ventricular fibrillation.",top_1,wikibase,I THINK ANSWER ONE IS CORRECT FOR REASONS
3-3,What are the different types of tachycardia?,"Atrial fibrillation. Atrial fibrillation is a rapid heart rate caused by chaotic, irregular electrical impulses in the upper chambers of the heart (atria (chamber of the heart)). ...Atrial flutter. ...Supraventricular tachycardia (SVT). ...Ventricular tachycardia. ...Ventricular fibrillation.","Atrial fibrillation. Atrial fibrillation is a rapid heart rate caused by chaotic, irregular electrical impulses in the upper chambers of the heart (atria). ...Atrial flutter. ...Supraventricular tachycardia (SVT). ...Ventricular tachycardia. ...Ventricular fibrillation. If you would like to learn more about atrium (heart), feel free to ask!","Atrial fibrillation. Atrial fibrillation is a rapid heart rate caused by chaotic, irregular electrical impulses in the upper chambers of the heart (atria). ...Atrial flutter. ...Supraventricular tachycardia (SVT). ...Ventricular tachycardia. ...Ventricular fibrillation.",top_1,original,it's the most complete answer that doesn't add unnecessary stuff inside brackets of brackets.
3-3,What are the different types of tachycardia?,"Atrial fibrillation. Atrial fibrillation is a rapid heart rate caused by chaotic, irregular electrical impulses in the upper chambers of the heart (atria (chamber of the heart)). ...Atrial flutter. ...Supraventricular tachycardia (SVT). ...Ventricular tachycardia. ...Ventricular fibrillation.","Atrial fibrillation. Atrial fibrillation is a rapid heart rate caused by chaotic, irregular electrical impulses in the upper chambers of the heart (atria). ...Atrial flutter. ...Supraventricular tachycardia (SVT). ...Ventricular tachycardia. ...Ventricular fibrillation. If you would like to learn more about atrium (heart), feel free to ask!","Atrial fibrillation. Atrial fibrillation is a rapid heart rate caused by chaotic, irregular electrical impulses in the upper chambers of the heart (atria). ...Atrial flutter. ...Supraventricular tachycardia (SVT). ...Ventricular tachycardia. ...Ventricular fibrillation.",top_1,prompt,They were all very similar but I felt that Answer 2 was the most thorough and welcoming if I wanted to know more.
70-2,What are the main uses of solar energy?,"Solar energy is used today in a number of ways:As heat for making hot water, heating buildings, and cooking.To generate electricity with solar cells or heat engines.To take the salt away from sea water.To use sun rays for drying clothes and towels.It is used by plants for the process of photosynthesis. If you would like to learn more about sunlight, feel free to ask!","Solar energy is used today in a number of ways:As heat for making hot water, heating buildings, and cooking.To generate electricity with solar cells or heat engines.To take the salt away from sea water.To use sun rays for drying clothes and towels.It is used by plants for the process of photosynthesis.","Solar energy is used today in a number of ways:As heat for making hot water, heating buildings, and cooking.To generate electricity with solar cells or heat engines.To take the salt away from sea water.To use sun rays (electromagnetic radiation given off by the Sun) for drying clothes and towels.It is used by plants for the process of photosynthesis.",top_1,original,It is clear and short and it explains briefly.
70-2,What are the main uses of solar energy?,"Solar energy is used today in a number of ways:As heat for making hot water, heating buildings, and cooking.To generate electricity with solar cells or heat engines.To take the salt away from sea water.To use sun rays for drying clothes and towels.It is used by plants for the process of photosynthesis. If you would like to learn more about sunlight, feel free to ask!","Solar energy is used today in a number of ways:As heat for making hot water, heating buildings, and cooking.To generate electricity with solar cells or heat engines.To take the salt away from sea water.To use sun rays for drying clothes and towels.It is used by plants for the process of photosynthesis.","Solar energy is used today in a number of ways:As heat for making hot water, heating buildings, and cooking.To generate electricity with solar cells or heat engines.To take the salt away from sea water.To use sun rays (electromagnetic radiation given off by the Sun) for drying clothes and towels.It is used by plants for the process of photosynthesis.",top_1,prompt,The response resembles the accurate reply from the agent
70-2,What are the main uses of solar energy?,"Solar energy is used today in a number of ways:As heat for making hot water, heating buildings, and cooking.To generate electricity with solar cells or heat engines.To take the salt away from sea water.To use sun rays for drying clothes and towels.It is used by plants for the process of photosynthesis. If you would like to learn more about sunlight, feel free to ask!","Solar energy is used today in a number of ways:As heat for making hot water, heating buildings, and cooking.To generate electricity with solar cells or heat engines.To take the salt away from sea water.To use sun rays for drying clothes and towels.It is used by plants for the process of photosynthesis.","Solar energy is used today in a number of ways:As heat for making hot water, heating buildings, and cooking.To generate electricity with solar cells or heat engines.To take the salt away from sea water.To use sun rays (electromagnetic radiation given off by the Sun) for drying clothes and towels.It is used by plants for the process of photosynthesis.",top_1,original,"includes only the necessary information without any redundancy (answer three explains too much, and answer one has unnecessary invitation)"
30-3,How does Linux compare to Windows?,Linux has access to source code and alters the code as per user need whereas Windows does not have access to source code. Linux will run faster than windows latest editions even with a modern desktop environment and features of the operating system whereas windows are slow on older hardware.,Linux has access to source code (collection of computer instructions written using some human-readable computer language) and alters the code as per user need whereas Windows does not have access to source code. Linux will run faster than windows latest editions even with a modern desktop environment and features of the operating system whereas windows are slow on older hardware.,"Linux has access to source code and alters the code as per user need whereas Windows does not have access to source code. Linux will run faster than windows latest editions even with a modern desktop environment and features of the operating system whereas windows are slow on older hardware. If you would like to learn more about source code, feel free to ask!",top_1,prompt,answer 3 is short and neat explain is good
