Conversation_no,Turn_no,QID,Question,Answer,Entity,Salience
1,1,1-1,What is a physician's assistant?,physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients,Pharmaceutical drug,1.0
1,1,1-1,What is a physician's assistant?,physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients,Health professional,1.5
1,1,1-1,What is a physician's assistant?,physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients,Patient,0.75
1,1,1-1,What is a physician's assistant?,physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients,Disease,0.75
1,1,1-1,What is a physician's assistant?,physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients,Physician assistant,1.25
6,1,6-1,What are the most important US supreme court cases?,"Marbury v. Madison, 1803 (4-0 decision) ...McCulloch v. Maryland, 1819 (7-0 decision) ...Dred Scott v. Sandford, 1857 (7-2 decision) ...Plessy v. Ferguson, 1896 (7-1 decision) ...Korematsu v. United States,",Plessy v. Ferguson,1.5
6,1,6-1,What are the most important US supreme court cases?,"Marbury v. Madison, 1803 (4-0 decision) ...McCulloch v. Maryland, 1819 (7-0 decision) ...Dred Scott v. Sandford, 1857 (7-2 decision) ...Plessy v. Ferguson, 1896 (7-1 decision) ...Korematsu v. United States,",Korematsu v. United States,1.5
6,1,6-1,What are the most important US supreme court cases?,"Marbury v. Madison, 1803 (4-0 decision) ...McCulloch v. Maryland, 1819 (7-0 decision) ...Dred Scott v. Sandford, 1857 (7-2 decision) ...Plessy v. Ferguson, 1896 (7-1 decision) ...Korematsu v. United States,",Marbury v. Madison,1.0
6,1,6-1,What are the most important US supreme court cases?,"Marbury v. Madison, 1803 (4-0 decision) ...McCulloch v. Maryland, 1819 (7-0 decision) ...Dred Scott v. Sandford, 1857 (7-2 decision) ...Plessy v. Ferguson, 1896 (7-1 decision) ...Korematsu v. United States,",McCulloch v. Maryland,0.5
6,1,6-1,What are the most important US supreme court cases?,"Marbury v. Madison, 1803 (4-0 decision) ...McCulloch v. Maryland, 1819 (7-0 decision) ...Dred Scott v. Sandford, 1857 (7-2 decision) ...Plessy v. Ferguson, 1896 (7-1 decision) ...Korematsu v. United States,",Dred Scott v. Sandford,1.5
9,1,9-1,Why is statistics important?,"The field of statistics is the science of learning from data. Statistical knowledge helps you use the proper methods to collect the data, employ the correct analyses, and effectively present the results.",Science,1.25
9,1,9-1,Why is statistics important?,"The field of statistics is the science of learning from data. Statistical knowledge helps you use the proper methods to collect the data, employ the correct analyses, and effectively present the results.",Knowledge,1.25
